nl_query,sql_query
Find count of records where Id is not between 10 and 20 from Template,SELECT COUNT(*) FROM Template WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from TestReport,SELECT * FROM TestReport;
Find top 10 records from TestReport,SELECT TOP 10 * FROM TestReport;
Count total records in TestReport,SELECT COUNT(*) FROM TestReport;
Find Id from TestReport where Id > 50,SELECT Id FROM TestReport WHERE Id > 50;
Find unique values in Id from TestReport,SELECT DISTINCT Id FROM TestReport;
Find average of Id from TestReport,SELECT AVG(Id) FROM TestReport;
Find minimum of Id from TestReport,SELECT MIN(Id) FROM TestReport;
Find maximum of Id from TestReport,SELECT MAX(Id) FROM TestReport;
Find sum of Id from TestReport,SELECT SUM(Id) FROM TestReport;
Find count of Id from TestReport,SELECT COUNT(Id) FROM TestReport;
Find count of distinct Id from TestReport,SELECT COUNT(DISTINCT Id) FROM TestReport;
Find count of null values in Id from TestReport,SELECT COUNT(*) - COUNT(Id) FROM TestReport;
Find count of non-null values in Id from TestReport,SELECT COUNT(Id) FROM TestReport;
Find count of records where Id is null from TestReport,SELECT COUNT(*) FROM TestReport WHERE Id IS NULL;
Find count of records where Id is not null from TestReport,SELECT COUNT(*) FROM TestReport WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from TestReport,SELECT COUNT(*) FROM TestReport WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from TestReport,SELECT COUNT(*) FROM TestReport WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiControlCategoryType,SELECT * FROM UiControlCategoryType;
Find top 10 records from UiControlCategoryType,SELECT TOP 10 * FROM UiControlCategoryType;
Count total records in UiControlCategoryType,SELECT COUNT(*) FROM UiControlCategoryType;
Find Id from UiControlCategoryType where Id > 50,SELECT Id FROM UiControlCategoryType WHERE Id > 50;
Find unique values in Id from UiControlCategoryType,SELECT DISTINCT Id FROM UiControlCategoryType;
Find average of Id from UiControlCategoryType,SELECT AVG(Id) FROM UiControlCategoryType;
Find minimum of Id from UiControlCategoryType,SELECT MIN(Id) FROM UiControlCategoryType;
Find maximum of Id from UiControlCategoryType,SELECT MAX(Id) FROM UiControlCategoryType;
Find sum of Id from UiControlCategoryType,SELECT SUM(Id) FROM UiControlCategoryType;
Find count of Id from UiControlCategoryType,SELECT COUNT(Id) FROM UiControlCategoryType;
Find count of distinct Id from UiControlCategoryType,SELECT COUNT(DISTINCT Id) FROM UiControlCategoryType;
Find count of null values in Id from UiControlCategoryType,SELECT COUNT(*) - COUNT(Id) FROM UiControlCategoryType;
Find count of non-null values in Id from UiControlCategoryType,SELECT COUNT(Id) FROM UiControlCategoryType;
Find count of records where Id is null from UiControlCategoryType,SELECT COUNT(*) FROM UiControlCategoryType WHERE Id IS NULL;
Find count of records where Id is not null from UiControlCategoryType,SELECT COUNT(*) FROM UiControlCategoryType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiControlCategoryType,SELECT COUNT(*) FROM UiControlCategoryType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiControlCategoryType,SELECT COUNT(*) FROM UiControlCategoryType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiControlType,SELECT * FROM UiControlType;
Find top 10 records from UiControlType,SELECT TOP 10 * FROM UiControlType;
Count total records in UiControlType,SELECT COUNT(*) FROM UiControlType;
Find id from UiControlType where id > 50,SELECT id FROM UiControlType WHERE id > 50;
Find unique values in id from UiControlType,SELECT DISTINCT id FROM UiControlType;
Find average of id from UiControlType,SELECT AVG(id) FROM UiControlType;
Find minimum of id from UiControlType,SELECT MIN(id) FROM UiControlType;
Find maximum of id from UiControlType,SELECT MAX(id) FROM UiControlType;
Find sum of id from UiControlType,SELECT SUM(id) FROM UiControlType;
Find count of id from UiControlType,SELECT COUNT(id) FROM UiControlType;
Find count of distinct id from UiControlType,SELECT COUNT(DISTINCT id) FROM UiControlType;
Find count of null values in id from UiControlType,SELECT COUNT(*) - COUNT(id) FROM UiControlType;
Find count of non-null values in id from UiControlType,SELECT COUNT(id) FROM UiControlType;
Find count of records where id is null from UiControlType,SELECT COUNT(*) FROM UiControlType WHERE id IS NULL;
Find count of records where id is not null from UiControlType,SELECT COUNT(*) FROM UiControlType WHERE id IS NOT NULL;
Find count of records where id is between 10 and 20 from UiControlType,SELECT COUNT(*) FROM UiControlType WHERE id BETWEEN 10 AND 20;
Find count of records where id is not between 10 and 20 from UiControlType,SELECT COUNT(*) FROM UiControlType WHERE id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiNavigationCategory,SELECT * FROM UiNavigationCategory;
Find top 10 records from UiNavigationCategory,SELECT TOP 10 * FROM UiNavigationCategory;
Count total records in UiNavigationCategory,SELECT COUNT(*) FROM UiNavigationCategory;
Find Id from UiNavigationCategory where Id > 50,SELECT Id FROM UiNavigationCategory WHERE Id > 50;
Find unique values in Id from UiNavigationCategory,SELECT DISTINCT Id FROM UiNavigationCategory;
Find average of Id from UiNavigationCategory,SELECT AVG(Id) FROM UiNavigationCategory;
Find minimum of Id from UiNavigationCategory,SELECT MIN(Id) FROM UiNavigationCategory;
Find maximum of Id from UiNavigationCategory,SELECT MAX(Id) FROM UiNavigationCategory;
Find sum of Id from UiNavigationCategory,SELECT SUM(Id) FROM UiNavigationCategory;
Find count of Id from UiNavigationCategory,SELECT COUNT(Id) FROM UiNavigationCategory;
Find count of distinct Id from UiNavigationCategory,SELECT COUNT(DISTINCT Id) FROM UiNavigationCategory;
Find count of null values in Id from UiNavigationCategory,SELECT COUNT(*) - COUNT(Id) FROM UiNavigationCategory;
Find count of non-null values in Id from UiNavigationCategory,SELECT COUNT(Id) FROM UiNavigationCategory;
Find count of records where Id is null from UiNavigationCategory,SELECT COUNT(*) FROM UiNavigationCategory WHERE Id IS NULL;
Find count of records where Id is not null from UiNavigationCategory,SELECT COUNT(*) FROM UiNavigationCategory WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiNavigationCategory,SELECT COUNT(*) FROM UiNavigationCategory WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiNavigationCategory,SELECT COUNT(*) FROM UiNavigationCategory WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageBoolType,SELECT * FROM UiPageBoolType;
Find top 10 records from UiPageBoolType,SELECT TOP 10 * FROM UiPageBoolType;
Count total records in UiPageBoolType,SELECT COUNT(*) FROM UiPageBoolType;
Find Id from UiPageBoolType where Id > 50,SELECT Id FROM UiPageBoolType WHERE Id > 50;
Find unique values in Id from UiPageBoolType,SELECT DISTINCT Id FROM UiPageBoolType;
Find average of Id from UiPageBoolType,SELECT AVG(Id) FROM UiPageBoolType;
Find minimum of Id from UiPageBoolType,SELECT MIN(Id) FROM UiPageBoolType;
Find maximum of Id from UiPageBoolType,SELECT MAX(Id) FROM UiPageBoolType;
Find sum of Id from UiPageBoolType,SELECT SUM(Id) FROM UiPageBoolType;
Find count of Id from UiPageBoolType,SELECT COUNT(Id) FROM UiPageBoolType;
Find count of distinct Id from UiPageBoolType,SELECT COUNT(DISTINCT Id) FROM UiPageBoolType;
Find count of null values in Id from UiPageBoolType,SELECT COUNT(*) - COUNT(Id) FROM UiPageBoolType;
Find count of non-null values in Id from UiPageBoolType,SELECT COUNT(Id) FROM UiPageBoolType;
Find count of records where Id is null from UiPageBoolType,SELECT COUNT(*) FROM UiPageBoolType WHERE Id IS NULL;
Find count of records where Id is not null from UiPageBoolType,SELECT COUNT(*) FROM UiPageBoolType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageBoolType,SELECT COUNT(*) FROM UiPageBoolType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageBoolType,SELECT COUNT(*) FROM UiPageBoolType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageData,SELECT * FROM UiPageData;
Find top 10 records from UiPageData,SELECT TOP 10 * FROM UiPageData;
Count total records in UiPageData,SELECT COUNT(*) FROM UiPageData;
Find Id from UiPageData where Id > 50,SELECT Id FROM UiPageData WHERE Id > 50;
Find unique values in Id from UiPageData,SELECT DISTINCT Id FROM UiPageData;
Find average of Id from UiPageData,SELECT AVG(Id) FROM UiPageData;
Find minimum of Id from UiPageData,SELECT MIN(Id) FROM UiPageData;
Find maximum of Id from UiPageData,SELECT MAX(Id) FROM UiPageData;
Find sum of Id from UiPageData,SELECT SUM(Id) FROM UiPageData;
Find count of Id from UiPageData,SELECT COUNT(Id) FROM UiPageData;
Find count of distinct Id from UiPageData,SELECT COUNT(DISTINCT Id) FROM UiPageData;
Find count of null values in Id from UiPageData,SELECT COUNT(*) - COUNT(Id) FROM UiPageData;
Find count of non-null values in Id from UiPageData,SELECT COUNT(Id) FROM UiPageData;
Find count of records where Id is null from UiPageData,SELECT COUNT(*) FROM UiPageData WHERE Id IS NULL;
Find count of records where Id is not null from UiPageData,SELECT COUNT(*) FROM UiPageData WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageData,SELECT COUNT(*) FROM UiPageData WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageData,SELECT COUNT(*) FROM UiPageData WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageDateType,SELECT * FROM UiPageDateType;
Find top 10 records from UiPageDateType,SELECT TOP 10 * FROM UiPageDateType;
Count total records in UiPageDateType,SELECT COUNT(*) FROM UiPageDateType;
Find Id from UiPageDateType where Id > 50,SELECT Id FROM UiPageDateType WHERE Id > 50;
Find unique values in Id from UiPageDateType,SELECT DISTINCT Id FROM UiPageDateType;
Find average of Id from UiPageDateType,SELECT AVG(Id) FROM UiPageDateType;
Find minimum of Id from UiPageDateType,SELECT MIN(Id) FROM UiPageDateType;
Find maximum of Id from UiPageDateType,SELECT MAX(Id) FROM UiPageDateType;
Find sum of Id from UiPageDateType,SELECT SUM(Id) FROM UiPageDateType;
Find count of Id from UiPageDateType,SELECT COUNT(Id) FROM UiPageDateType;
Find count of distinct Id from UiPageDateType,SELECT COUNT(DISTINCT Id) FROM UiPageDateType;
Find count of null values in Id from UiPageDateType,SELECT COUNT(*) - COUNT(Id) FROM UiPageDateType;
Find count of non-null values in Id from UiPageDateType,SELECT COUNT(Id) FROM UiPageDateType;
Find count of records where Id is null from UiPageDateType,SELECT COUNT(*) FROM UiPageDateType WHERE Id IS NULL;
Find count of records where Id is not null from UiPageDateType,SELECT COUNT(*) FROM UiPageDateType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageDateType,SELECT COUNT(*) FROM UiPageDateType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageDateType,SELECT COUNT(*) FROM UiPageDateType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageDecimalType,SELECT * FROM UiPageDecimalType;
Find top 10 records from UiPageDecimalType,SELECT TOP 10 * FROM UiPageDecimalType;
Count total records in UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType;
Find Id from UiPageDecimalType where Id > 50,SELECT Id FROM UiPageDecimalType WHERE Id > 50;
Find unique values in Id from UiPageDecimalType,SELECT DISTINCT Id FROM UiPageDecimalType;
Find average of Id from UiPageDecimalType,SELECT AVG(Id) FROM UiPageDecimalType;
Find minimum of Id from UiPageDecimalType,SELECT MIN(Id) FROM UiPageDecimalType;
Find maximum of Id from UiPageDecimalType,SELECT MAX(Id) FROM UiPageDecimalType;
Find sum of Id from UiPageDecimalType,SELECT SUM(Id) FROM UiPageDecimalType;
Find count of Id from UiPageDecimalType,SELECT COUNT(Id) FROM UiPageDecimalType;
Find count of distinct Id from UiPageDecimalType,SELECT COUNT(DISTINCT Id) FROM UiPageDecimalType;
Find count of null values in Id from UiPageDecimalType,SELECT COUNT(*) - COUNT(Id) FROM UiPageDecimalType;
Find count of non-null values in Id from UiPageDecimalType,SELECT COUNT(Id) FROM UiPageDecimalType;
Find count of records where Id is null from UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType WHERE Id IS NULL;
Find count of records where Id is not null from UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageDecimalType,SELECT COUNT(*) FROM UiPageDecimalType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageFileAttachType,SELECT * FROM UiPageFileAttachType;
Find top 10 records from UiPageFileAttachType,SELECT TOP 10 * FROM UiPageFileAttachType;
Count total records in UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType;
Find Id from UiPageFileAttachType where Id > 50,SELECT Id FROM UiPageFileAttachType WHERE Id > 50;
Find unique values in Id from UiPageFileAttachType,SELECT DISTINCT Id FROM UiPageFileAttachType;
Find average of Id from UiPageFileAttachType,SELECT AVG(Id) FROM UiPageFileAttachType;
Find minimum of Id from UiPageFileAttachType,SELECT MIN(Id) FROM UiPageFileAttachType;
Find maximum of Id from UiPageFileAttachType,SELECT MAX(Id) FROM UiPageFileAttachType;
Find sum of Id from UiPageFileAttachType,SELECT SUM(Id) FROM UiPageFileAttachType;
Find count of Id from UiPageFileAttachType,SELECT COUNT(Id) FROM UiPageFileAttachType;
Find count of distinct Id from UiPageFileAttachType,SELECT COUNT(DISTINCT Id) FROM UiPageFileAttachType;
Find count of null values in Id from UiPageFileAttachType,SELECT COUNT(*) - COUNT(Id) FROM UiPageFileAttachType;
Find count of non-null values in Id from UiPageFileAttachType,SELECT COUNT(Id) FROM UiPageFileAttachType;
Find count of records where Id is null from UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType WHERE Id IS NULL;
Find count of records where Id is not null from UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageFileAttachType,SELECT COUNT(*) FROM UiPageFileAttachType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageIntType,SELECT * FROM UiPageIntType;
Find top 10 records from UiPageIntType,SELECT TOP 10 * FROM UiPageIntType;
Count total records in UiPageIntType,SELECT COUNT(*) FROM UiPageIntType;
Find Id from UiPageIntType where Id > 50,SELECT Id FROM UiPageIntType WHERE Id > 50;
Find unique values in Id from UiPageIntType,SELECT DISTINCT Id FROM UiPageIntType;
Find average of Id from UiPageIntType,SELECT AVG(Id) FROM UiPageIntType;
Find minimum of Id from UiPageIntType,SELECT MIN(Id) FROM UiPageIntType;
Find maximum of Id from UiPageIntType,SELECT MAX(Id) FROM UiPageIntType;
Find sum of Id from UiPageIntType,SELECT SUM(Id) FROM UiPageIntType;
Find count of Id from UiPageIntType,SELECT COUNT(Id) FROM UiPageIntType;
Find count of distinct Id from UiPageIntType,SELECT COUNT(DISTINCT Id) FROM UiPageIntType;
Find count of null values in Id from UiPageIntType,SELECT COUNT(*) - COUNT(Id) FROM UiPageIntType;
Find count of non-null values in Id from UiPageIntType,SELECT COUNT(Id) FROM UiPageIntType;
Find count of records where Id is null from UiPageIntType,SELECT COUNT(*) FROM UiPageIntType WHERE Id IS NULL;
Find count of records where Id is not null from UiPageIntType,SELECT COUNT(*) FROM UiPageIntType WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageIntType,SELECT COUNT(*) FROM UiPageIntType WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageIntType,SELECT COUNT(*) FROM UiPageIntType WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageMetadata,SELECT * FROM UiPageMetadata;
Find top 10 records from UiPageMetadata,SELECT TOP 10 * FROM UiPageMetadata;
Count total records in UiPageMetadata,SELECT COUNT(*) FROM UiPageMetadata;
Find Id from UiPageMetadata where Id > 50,SELECT Id FROM UiPageMetadata WHERE Id > 50;
Find unique values in Id from UiPageMetadata,SELECT DISTINCT Id FROM UiPageMetadata;
Find average of Id from UiPageMetadata,SELECT AVG(Id) FROM UiPageMetadata;
Find minimum of Id from UiPageMetadata,SELECT MIN(Id) FROM UiPageMetadata;
Find maximum of Id from UiPageMetadata,SELECT MAX(Id) FROM UiPageMetadata;
Find sum of Id from UiPageMetadata,SELECT SUM(Id) FROM UiPageMetadata;
Find count of Id from UiPageMetadata,SELECT COUNT(Id) FROM UiPageMetadata;
Find count of distinct Id from UiPageMetadata,SELECT COUNT(DISTINCT Id) FROM UiPageMetadata;
Find count of null values in Id from UiPageMetadata,SELECT COUNT(*) - COUNT(Id) FROM UiPageMetadata;
Find count of non-null values in Id from UiPageMetadata,SELECT COUNT(Id) FROM UiPageMetadata;
Find count of records where Id is null from UiPageMetadata,SELECT COUNT(*) FROM UiPageMetadata WHERE Id IS NULL;
Find count of records where Id is not null from UiPageMetadata,SELECT COUNT(*) FROM UiPageMetadata WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageMetadata,SELECT COUNT(*) FROM UiPageMetadata WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageMetadata,SELECT COUNT(*) FROM UiPageMetadata WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageMetadataCharacteristics,SELECT * FROM UiPageMetadataCharacteristics;
Find top 10 records from UiPageMetadataCharacteristics,SELECT TOP 10 * FROM UiPageMetadataCharacteristics;
Count total records in UiPageMetadataCharacteristics,SELECT COUNT(*) FROM UiPageMetadataCharacteristics;
Find Id from UiPageMetadataCharacteristics where Id > 50,SELECT Id FROM UiPageMetadataCharacteristics WHERE Id > 50;
Find unique values in Id from UiPageMetadataCharacteristics,SELECT DISTINCT Id FROM UiPageMetadataCharacteristics;
Find average of Id from UiPageMetadataCharacteristics,SELECT AVG(Id) FROM UiPageMetadataCharacteristics;
Find minimum of Id from UiPageMetadataCharacteristics,SELECT MIN(Id) FROM UiPageMetadataCharacteristics;
Find maximum of Id from UiPageMetadataCharacteristics,SELECT MAX(Id) FROM UiPageMetadataCharacteristics;
Find sum of Id from UiPageMetadataCharacteristics,SELECT SUM(Id) FROM UiPageMetadataCharacteristics;
Find count of Id from UiPageMetadataCharacteristics,SELECT COUNT(Id) FROM UiPageMetadataCharacteristics;
Find count of distinct Id from UiPageMetadataCharacteristics,SELECT COUNT(DISTINCT Id) FROM UiPageMetadataCharacteristics;
Find count of null values in Id from UiPageMetadataCharacteristics,SELECT COUNT(*) - COUNT(Id) FROM UiPageMetadataCharacteristics;
Find count of non-null values in Id from UiPageMetadataCharacteristics,SELECT COUNT(Id) FROM UiPageMetadataCharacteristics;
Find count of records where Id is null from UiPageMetadataCharacteristics,SELECT COUNT(*) FROM UiPageMetadataCharacteristics WHERE Id IS NULL;
Find count of records where Id is not null from UiPageMetadataCharacteristics,SELECT COUNT(*) FROM UiPageMetadataCharacteristics WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageMetadataCharacteristics,SELECT COUNT(*) FROM UiPageMetadataCharacteristics WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageMetadataCharacteristics,SELECT COUNT(*) FROM UiPageMetadataCharacteristics WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageMetadataModuleBridge,SELECT * FROM UiPageMetadataModuleBridge;
Find top 10 records from UiPageMetadataModuleBridge,SELECT TOP 10 * FROM UiPageMetadataModuleBridge;
Count total records in UiPageMetadataModuleBridge,SELECT COUNT(*) FROM UiPageMetadataModuleBridge;
Find Id from UiPageMetadataModuleBridge where Id > 50,SELECT Id FROM UiPageMetadataModuleBridge WHERE Id > 50;
Find unique values in Id from UiPageMetadataModuleBridge,SELECT DISTINCT Id FROM UiPageMetadataModuleBridge;
Find average of Id from UiPageMetadataModuleBridge,SELECT AVG(Id) FROM UiPageMetadataModuleBridge;
Find minimum of Id from UiPageMetadataModuleBridge,SELECT MIN(Id) FROM UiPageMetadataModuleBridge;
Find maximum of Id from UiPageMetadataModuleBridge,SELECT MAX(Id) FROM UiPageMetadataModuleBridge;
Find sum of Id from UiPageMetadataModuleBridge,SELECT SUM(Id) FROM UiPageMetadataModuleBridge;
Find count of Id from UiPageMetadataModuleBridge,SELECT COUNT(Id) FROM UiPageMetadataModuleBridge;
Find count of distinct Id from UiPageMetadataModuleBridge,SELECT COUNT(DISTINCT Id) FROM UiPageMetadataModuleBridge;
Find count of null values in Id from UiPageMetadataModuleBridge,SELECT COUNT(*) - COUNT(Id) FROM UiPageMetadataModuleBridge;
Find count of non-null values in Id from UiPageMetadataModuleBridge,SELECT COUNT(Id) FROM UiPageMetadataModuleBridge;
Find count of records where Id is null from UiPageMetadataModuleBridge,SELECT COUNT(*) FROM UiPageMetadataModuleBridge WHERE Id IS NULL;
Find count of records where Id is not null from UiPageMetadataModuleBridge,SELECT COUNT(*) FROM UiPageMetadataModuleBridge WHERE Id IS NOT NULL;
Find count of records where Id is between 10 and 20 from UiPageMetadataModuleBridge,SELECT COUNT(*) FROM UiPageMetadataModuleBridge WHERE Id BETWEEN 10 AND 20;
Find count of records where Id is not between 10 and 20 from UiPageMetadataModuleBridge,SELECT COUNT(*) FROM UiPageMetadataModuleBridge WHERE Id NOT BETWEEN 10 AND 20;
Get all table names,SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE='BASE TABLE';
Get all records from UiPageNavigation,SELECT * FROM UiPageNavigation;
Find top 10 records from UiPageNavigation,SELECT TOP 10 * FROM UiPageNavigation;
Count total records in UiPageNavigation,SELECT COUNT(*) FROM UiPageNavigation;
