Natural Language Query,SQL Query
"Show all Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType;"
"List all Id, Name, PermissionModuleTypeId, IsDeleted in SubPermissionModuleType where IsDeleted is 44","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE IsDeleted = '45';"
"Find Id, Name, PermissionModuleTypeId, IsDeleted in SubPermissionModuleType with IsDeleted greater than 32","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE IsDeleted > 31;"
"Get Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType where IsDeleted is in (42, 65)","SELECT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType WHERE IsDeleted IN ('12', '81');"
Find all records in SubPermissionModuleType where IsDeleted is between 26 and 66,SELECT * FROM SubPermissionModuleType WHERE IsDeleted BETWEEN '36' AND '66';
Join SubPermissionModuleType and PasswordLogin on IsDeleted = PermissionModuleTypeId,SELECT * FROM SubPermissionModuleType JOIN UiControlType ON SubPermissionModuleType.IsDeleted = UiControlType.IsDeleted;
Count number of records in SubPermissionModuleType,SELECT COUNT(*) FROM SubPermissionModuleType;
"Find distinct Id, Name, PermissionModuleTypeId, IsDeleted from SubPermissionModuleType","SELECT DISTINCT Id, Name, PermissionModuleTypeId, IsDeleted FROM SubPermissionModuleType;"
Get maximum IsDeleted from SubPermissionModuleType,SELECT MAX(IsDeleted) FROM SubPermissionModuleType;
Get minimum IsDeleted from SubPermissionModuleType,SELECT MIN(IsDeleted) FROM SubPermissionModuleType;
Calculate average IsDeleted in SubPermissionModuleType,SELECT AVG(IsDeleted) FROM SubPermissionModuleType;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where Id is 77","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Id = '36';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with Id greater than 47","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Id > 96;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where Id is in (49, 69)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Id IN ('9', '54');"
Find all records in Survey where Id is between 9 and 85,SELECT * FROM Survey WHERE Id BETWEEN '21' AND '98';
Join Survey and Activity on Id = State,SELECT * FROM Survey JOIN UiPageData ON Survey.Id = UiPageData.Email;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum Id from Survey,SELECT MAX(Id) FROM Survey;
Get minimum Id from Survey,SELECT MIN(Id) FROM Survey;
Calculate average Id in Survey,SELECT AVG(Id) FROM Survey;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where Name is 8","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Name = '45';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with Name greater than 52","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Name > 16;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where Name is in (38, 94)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Name IN ('9', '79');"
Find all records in Survey where Name is between 36 and 92,SELECT * FROM Survey WHERE Name BETWEEN '19' AND '63';
Join Survey and UserGroup on Name = Name,SELECT * FROM Survey JOIN ImageUpload ON Survey.Name = ImageUpload.Address;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum Name from Survey,SELECT MAX(Name) FROM Survey;
Get minimum Name from Survey,SELECT MIN(Name) FROM Survey;
Calculate average Name in Survey,SELECT AVG(Name) FROM Survey;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where Mobile is 21","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Mobile = '69';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with Mobile greater than 75","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Mobile > 23;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where Mobile is in (23, 62)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Mobile IN ('26', '86');"
Find all records in Survey where Mobile is between 5 and 58,SELECT * FROM Survey WHERE Mobile BETWEEN '29' AND '57';
Join Survey and UiControlType on Mobile = IsDeleted,SELECT * FROM Survey JOIN UserRole ON Survey.Mobile = UserRole.TestingType;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum Mobile from Survey,SELECT MAX(Mobile) FROM Survey;
Get minimum Mobile from Survey,SELECT MIN(Mobile) FROM Survey;
Calculate average Mobile in Survey,SELECT AVG(Mobile) FROM Survey;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where Email is 32","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Email = '44';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with Email greater than 100","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Email > 8;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where Email is in (3, 76)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Email IN ('25', '84');"
Find all records in Survey where Email is between 11 and 77,SELECT * FROM Survey WHERE Email BETWEEN '15' AND '86';
Join Survey and UserGroup on Email = Mobile,SELECT * FROM Survey JOIN UiControlType ON Survey.Email = UiControlType.IsDeleted;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum Email from Survey,SELECT MAX(Email) FROM Survey;
Get minimum Email from Survey,SELECT MIN(Email) FROM Survey;
Calculate average Email in Survey,SELECT AVG(Email) FROM Survey;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where TestingType is 2","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE TestingType = '14';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with TestingType greater than 3","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE TestingType > 22;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where TestingType is in (29, 86)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE TestingType IN ('2', '84');"
Find all records in Survey where TestingType is between 39 and 79,SELECT * FROM Survey WHERE TestingType BETWEEN '27' AND '56';
Join Survey and UserRole on TestingType = Mobile,SELECT * FROM Survey JOIN Survey ON Survey.TestingType = Survey.Mobile;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum TestingType from Survey,SELECT MAX(TestingType) FROM Survey;
Get minimum TestingType from Survey,SELECT MIN(TestingType) FROM Survey;
Calculate average TestingType in Survey,SELECT AVG(TestingType) FROM Survey;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where Address is 13","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Address = '31';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with Address greater than 38","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Address > 46;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where Address is in (34, 75)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Address IN ('27', '72');"
Find all records in Survey where Address is between 20 and 92,SELECT * FROM Survey WHERE Address BETWEEN '48' AND '97';
Join Survey and UiControlType on Address = Id,SELECT * FROM Survey JOIN UiControlType ON Survey.Address = UiControlType.PinCode;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum Address from Survey,SELECT MAX(Address) FROM Survey;
Get minimum Address from Survey,SELECT MIN(Address) FROM Survey;
Calculate average Address in Survey,SELECT AVG(Address) FROM Survey;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where City is 66","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE City = '76';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with City greater than 99","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE City > 76;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where City is in (39, 52)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE City IN ('46', '95');"
Find all records in Survey where City is between 45 and 94,SELECT * FROM Survey WHERE City BETWEEN '15' AND '91';
Join Survey and TestReport on City = City,SELECT * FROM Survey JOIN ActivityMetadata ON Survey.City = ActivityMetadata.Comments;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum City from Survey,SELECT MAX(City) FROM Survey;
Get minimum City from Survey,SELECT MIN(City) FROM Survey;
Calculate average City in Survey,SELECT AVG(City) FROM Survey;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where State is 92","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE State = '57';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with State greater than 5","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE State > 49;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where State is in (43, 95)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE State IN ('26', '84');"
Find all records in Survey where State is between 48 and 56,SELECT * FROM Survey WHERE State BETWEEN '13' AND '57';
Join Survey and DataType on State = Email,SELECT * FROM Survey JOIN WorkflowActivity ON Survey.State = WorkflowActivity.TestingType;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum State from Survey,SELECT MAX(State) FROM Survey;
Get minimum State from Survey,SELECT MIN(State) FROM Survey;
Calculate average State in Survey,SELECT AVG(State) FROM Survey;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where PinCode is 28","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE PinCode = '13';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with PinCode greater than 45","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE PinCode > 33;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where PinCode is in (19, 77)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE PinCode IN ('22', '80');"
Find all records in Survey where PinCode is between 26 and 88,SELECT * FROM Survey WHERE PinCode BETWEEN '20' AND '53';
Join Survey and Record on PinCode = TestingType,SELECT * FROM Survey JOIN UiNavigationCategory ON Survey.PinCode = UiNavigationCategory.Email;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum PinCode from Survey,SELECT MAX(PinCode) FROM Survey;
Get minimum PinCode from Survey,SELECT MIN(PinCode) FROM Survey;
Calculate average PinCode in Survey,SELECT AVG(PinCode) FROM Survey;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where Comments is 97","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Comments = '67';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with Comments greater than 79","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Comments > 83;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where Comments is in (15, 78)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE Comments IN ('15', '86');"
Find all records in Survey where Comments is between 37 and 70,SELECT * FROM Survey WHERE Comments BETWEEN '21' AND '52';
Join Survey and UiPageDateType on Comments = Id,SELECT * FROM Survey JOIN UserRole ON Survey.Comments = UserRole.Name;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum Comments from Survey,SELECT MAX(Comments) FROM Survey;
Get minimum Comments from Survey,SELECT MIN(Comments) FROM Survey;
Calculate average Comments in Survey,SELECT AVG(Comments) FROM Survey;
Get all records from Survey,SELECT * FROM Survey;
"Show all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
"List all Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey where IsDeleted is 32","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE IsDeleted = '30';"
"Find Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted in Survey with IsDeleted greater than 19","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE IsDeleted > 2;"
"Get Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey where IsDeleted is in (16, 93)","SELECT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey WHERE IsDeleted IN ('49', '81');"
Find all records in Survey where IsDeleted is between 2 and 60,SELECT * FROM Survey WHERE IsDeleted BETWEEN '1' AND '61';
Join Survey and UserClaim on IsDeleted = City,SELECT * FROM Survey JOIN UiPageType ON Survey.IsDeleted = UiPageType.PinCode;
Count number of records in Survey,SELECT COUNT(*) FROM Survey;
"Find distinct Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted from Survey","SELECT DISTINCT Id, Name, Mobile, Email, TestingType, Address, City, State, PinCode, Comments, IsDeleted FROM Survey;"
Get maximum IsDeleted from Survey,SELECT MAX(IsDeleted) FROM Survey;
Get minimum IsDeleted from Survey,SELECT MIN(IsDeleted) FROM Survey;
Calculate average IsDeleted in Survey,SELECT AVG(IsDeleted) FROM Survey;
Get all records from Template,SELECT * FROM Template;
"Show all Id, TemplateName, FileId, IsDeleted from Template","SELECT Id, TemplateName, FileId, IsDeleted FROM Template;"
"List all Id, TemplateName, FileId, IsDeleted in Template where Id is 80","SELECT Id, TemplateName, FileId, IsDeleted FROM Template WHERE Id = '15';"
"Find Id, TemplateName, FileId, IsDeleted in Template with Id greater than 79","SELECT Id, TemplateName, FileId, IsDeleted FROM Template WHERE Id > 80;"
"Get Id, TemplateName, FileId, IsDeleted from Template where Id is in (17, 91)","SELECT Id, TemplateName, FileId, IsDeleted FROM Template WHERE Id IN ('11', '93');"
Find all records in Template where Id is between 7 and 62,SELECT * FROM Template WHERE Id BETWEEN '44' AND '90';
Join Template and UiPageMetadataCharacteristics on Id = Id,SELECT * FROM Template JOIN UiPageValidation ON Template.Id = UiPageValidation.Id;
Count number of records in Template,SELECT COUNT(*) FROM Template;
"Find distinct Id, TemplateName, FileId, IsDeleted from Template","SELECT DISTINCT Id, TemplateName, FileId, IsDeleted FROM Template;"
Get maximum Id from Template,SELECT MAX(Id) FROM Template;
Get minimum Id from Template,SELECT MIN(Id) FROM Template;
Calculate average Id in Template,SELECT AVG(Id) FROM Template;
Get all records from Template,SELECT * FROM Template;
"Show all Id, TemplateName, FileId, IsDeleted from Template","SELECT Id, TemplateName, FileId, IsDeleted FROM Template;"
"List all Id, TemplateName, FileId, IsDeleted in Template where TemplateName is 96","SELECT Id, TemplateName, FileId, IsDeleted FROM Template WHERE TemplateName = '79';"
"Find Id, TemplateName, FileId, IsDeleted in Template with TemplateName greater than 74","SELECT Id, TemplateName, FileId, IsDeleted FROM Template WHERE TemplateName > 91;"
"Get Id, TemplateName, FileId, IsDeleted from Template where TemplateName is in (40, 97)","SELECT Id, TemplateName, FileId, IsDeleted FROM Template WHERE TemplateName IN ('13', '81');"
Find all records in Template where TemplateName is between 36 and 71,SELECT * FROM Template WHERE TemplateName BETWEEN '2' AND '51';
